grid_number,endpoints,throughput,folder
578,374,5.59,run_agents200_endpoints374_grid00578
579,362,5.973,run_agents200_endpoints362_grid00579
580,357,5.693,run_agents200_endpoints357_grid00580
582,359,5.269,run_agents200_endpoints359_grid00582
583,351,1.138,run_agents200_endpoints351_grid00583
584,364,5.851,run_agents200_endpoints364_grid00584
585,355,5.35,run_agents200_endpoints355_grid00585
586,354,5.318,run_agents200_endpoints354_grid00586
587,360,5.62,run_agents200_endpoints360_grid00587
588,365,4.235,run_agents200_endpoints365_grid00588
589,353,5.839,run_agents200_endpoints353_grid00589
590,369,5.753,run_agents200_endpoints369_grid00590
591,362,5.846,run_agents200_endpoints362_grid00591
592,358,5.781,run_agents200_endpoints358_grid00592
593,355,1.176,run_agents200_endpoints355_grid00593
595,365,5.828,run_agents200_endpoints365_grid00595
596,361,5.883,run_agents200_endpoints361_grid00596
597,364,5.617,run_agents200_endpoints364_grid00597
598,362,4.528,run_agents200_endpoints362_grid00598
599,374,5.535,run_agents200_endpoints374_grid00599
600,350,5.615,run_agents200_endpoints350_grid00600
601,350,0.504,run_agents200_endpoints350_grid00601
602,356,5.402,run_agents200_endpoints356_grid00602
603,351,3.774,run_agents200_endpoints351_grid00603
604,370,5.92,run_agents200_endpoints370_grid00604
605,361,1.191,run_agents200_endpoints361_grid00605
606,370,6.021,run_agents200_endpoints370_grid00606
607,360,5.659,run_agents200_endpoints360_grid00607
608,359,5.852,run_agents200_endpoints359_grid00608
609,357,5.905,run_agents200_endpoints357_grid00609
610,357,5.498,run_agents200_endpoints357_grid00610
611,362,5.577,run_agents200_endpoints362_grid00611
612,359,6.046,run_agents200_endpoints359_grid00612
613,351,5.378,run_agents200_endpoints351_grid00613
614,344,5.847,run_agents200_endpoints344_grid00614
615,349,5.829,run_agents200_endpoints349_grid00615
616,365,1.268,run_agents200_endpoints365_grid00616
617,360,2.839,run_agents200_endpoints360_grid00617
618,356,5.281,run_agents200_endpoints356_grid00618
619,349,4.044,run_agents200_endpoints349_grid00619
620,356,5.85,run_agents200_endpoints356_grid00620
622,348,5.678,run_agents200_endpoints348_grid00622
623,369,5.32,run_agents200_endpoints369_grid00623
624,354,5.727,run_agents200_endpoints354_grid00624
625,360,5.894,run_agents200_endpoints360_grid00625
626,352,5.675,run_agents200_endpoints352_grid00626
627,368,5.856,run_agents200_endpoints368_grid00627
628,358,2.95,run_agents200_endpoints358_grid00628
629,348,5.737,run_agents200_endpoints348_grid00629
630,358,5.866,run_agents200_endpoints358_grid00630
631,361,0.895,run_agents200_endpoints361_grid00631
632,357,1.097,run_agents200_endpoints357_grid00632
633,364,5.586,run_agents200_endpoints364_grid00633
634,362,5.637,run_agents200_endpoints362_grid00634
636,354,5.511,run_agents200_endpoints354_grid00636
637,353,5.863,run_agents200_endpoints353_grid00637
638,351,5.753,run_agents200_endpoints351_grid00638
640,364,5.974,run_agents200_endpoints364_grid00640
641,354,5.879,run_agents200_endpoints354_grid00641
642,352,1.174,run_agents200_endpoints352_grid00642
643,355,5.755,run_agents200_endpoints355_grid00643
644,362,2.617,run_agents200_endpoints362_grid00644
645,354,0.642,run_agents200_endpoints354_grid00645
646,363,3.028,run_agents200_endpoints363_grid00646
647,362,0.821,run_agents200_endpoints362_grid00647
648,365,5.83,run_agents200_endpoints365_grid00648
649,358,0.404,run_agents200_endpoints358_grid00649
651,352,2.647,run_agents200_endpoints352_grid00651
652,354,0.973,run_agents200_endpoints354_grid00652
653,349,5.864,run_agents200_endpoints349_grid00653
654,372,1.893,run_agents200_endpoints372_grid00654
656,365,5.771,run_agents200_endpoints365_grid00656
657,351,5.692,run_agents200_endpoints351_grid00657
658,357,5.829,run_agents200_endpoints357_grid00658
659,347,5.315,run_agents200_endpoints347_grid00659
660,370,5.899,run_agents200_endpoints370_grid00660
661,362,5.824,run_agents200_endpoints362_grid00661
662,361,5.612,run_agents200_endpoints361_grid00662
663,344,5.245,run_agents200_endpoints344_grid00663
664,356,5.345,run_agents200_endpoints356_grid00664
665,357,5.933,run_agents200_endpoints357_grid00665
666,361,1.048,run_agents200_endpoints361_grid00666
667,348,5.601,run_agents200_endpoints348_grid00667
668,378,5.901,run_agents200_endpoints378_grid00668
669,354,5.706,run_agents200_endpoints354_grid00669
670,356,3.278,run_agents200_endpoints356_grid00670
671,358,5.679,run_agents200_endpoints358_grid00671
672,354,5.738,run_agents200_endpoints354_grid00672
673,348,3.314,run_agents200_endpoints348_grid00673
674,365,5.55,run_agents200_endpoints365_grid00674
675,359,5.685,run_agents200_endpoints359_grid00675
676,362,5.847,run_agents200_endpoints362_grid00676
677,359,2.142,run_agents200_endpoints359_grid00677
678,349,1.078,run_agents200_endpoints349_grid00678
679,354,5.585,run_agents200_endpoints354_grid00679
680,363,5.389,run_agents200_endpoints363_grid00680
681,345,5.764,run_agents200_endpoints345_grid00681
682,352,5.769,run_agents200_endpoints352_grid00682
683,372,5.897,run_agents200_endpoints372_grid00683
684,367,1.687,run_agents200_endpoints367_grid00684
685,350,5.822,run_agents200_endpoints350_grid00685
686,350,5.845,run_agents200_endpoints350_grid00686
687,369,1.829,run_agents200_endpoints369_grid00687
688,361,5.679,run_agents200_endpoints361_grid00688
689,345,1.76,run_agents200_endpoints345_grid00689
690,356,5.77,run_agents200_endpoints356_grid00690
691,360,5.857,run_agents200_endpoints360_grid00691
692,352,5.568,run_agents200_endpoints352_grid00692
693,347,5.773,run_agents200_endpoints347_grid00693
694,367,5.719,run_agents200_endpoints367_grid00694
695,358,5.579,run_agents200_endpoints358_grid00695
696,359,5.73,run_agents200_endpoints359_grid00696
697,350,5.715,run_agents200_endpoints350_grid00697
698,359,5.814,run_agents200_endpoints359_grid00698
699,361,5.944,run_agents200_endpoints361_grid00699
700,358,5.815,run_agents200_endpoints358_grid00700
701,357,5.393,run_agents200_endpoints357_grid00701
702,349,3.261,run_agents200_endpoints349_grid00702
703,364,6.006,run_agents200_endpoints364_grid00703
704,360,4.748,run_agents200_endpoints360_grid00704
705,354,5.612,run_agents200_endpoints354_grid00705
706,365,5.883,run_agents200_endpoints365_grid00706
707,357,5.81,run_agents200_endpoints357_grid00707
708,364,5.636,run_agents200_endpoints364_grid00708
709,366,3.065,run_agents200_endpoints366_grid00709
710,355,5.395,run_agents200_endpoints355_grid00710
711,358,5.872,run_agents200_endpoints358_grid00711
712,351,5.678,run_agents200_endpoints351_grid00712
713,360,5.913,run_agents200_endpoints360_grid00713
714,360,1.53,run_agents200_endpoints360_grid00714
715,346,5.739,run_agents200_endpoints346_grid00715
716,363,5.814,run_agents200_endpoints363_grid00716
717,368,5.867,run_agents200_endpoints368_grid00717
718,359,5.805,run_agents200_endpoints359_grid00718
719,367,5.575,run_agents200_endpoints367_grid00719
720,353,3.387,run_agents200_endpoints353_grid00720
721,356,1.742,run_agents200_endpoints356_grid00721
722,363,5.718,run_agents200_endpoints363_grid00722
723,368,5.716,run_agents200_endpoints368_grid00723
724,372,5.737,run_agents200_endpoints372_grid00724
725,365,5.099,run_agents200_endpoints365_grid00725
726,345,5.864,run_agents200_endpoints345_grid00726
727,342,5.382,run_agents200_endpoints342_grid00727
728,362,1.264,run_agents200_endpoints362_grid00728
729,360,0.933,run_agents200_endpoints360_grid00729
730,365,5.833,run_agents200_endpoints365_grid00730
731,368,6.144,run_agents200_endpoints368_grid00731
732,353,5.607,run_agents200_endpoints353_grid00732
733,349,5.545,run_agents200_endpoints349_grid00733
734,369,2.224,run_agents200_endpoints369_grid00734
735,361,5.709,run_agents200_endpoints361_grid00735
736,359,2.908,run_agents200_endpoints359_grid00736
737,370,5.854,run_agents200_endpoints370_grid00737
738,362,5.673,run_agents200_endpoints362_grid00738
739,361,6.013,run_agents200_endpoints361_grid00739
740,357,5.763,run_agents200_endpoints357_grid00740
741,364,5.601,run_agents200_endpoints364_grid00741
742,361,5.009,run_agents200_endpoints361_grid00742
743,364,5.742,run_agents200_endpoints364_grid00743
744,358,0.477,run_agents200_endpoints358_grid00744
745,367,5.209,run_agents200_endpoints367_grid00745
746,354,5.945,run_agents200_endpoints354_grid00746
747,364,5.268,run_agents200_endpoints364_grid00747
748,347,5.841,run_agents200_endpoints347_grid00748
749,350,5.944,run_agents200_endpoints350_grid00749
750,364,5.729,run_agents200_endpoints364_grid00750
751,352,2.287,run_agents200_endpoints352_grid00751
752,353,2.356,run_agents200_endpoints353_grid00752
753,370,5.799,run_agents200_endpoints370_grid00753
754,350,5.374,run_agents200_endpoints350_grid00754
755,362,4.095,run_agents200_endpoints362_grid00755
756,365,5.834,run_agents200_endpoints365_grid00756
757,345,1.617,run_agents200_endpoints345_grid00757
758,352,5.884,run_agents200_endpoints352_grid00758
759,375,5.955,run_agents200_endpoints375_grid00759
760,365,5.668,run_agents200_endpoints365_grid00760
761,359,1.482,run_agents200_endpoints359_grid00761
762,351,5.218,run_agents200_endpoints351_grid00762
763,367,2.666,run_agents200_endpoints367_grid00763
764,360,5.848,run_agents200_endpoints360_grid00764
765,354,3.237,run_agents200_endpoints354_grid00765
766,371,5.673,run_agents200_endpoints371_grid00766
767,346,5.928,run_agents200_endpoints346_grid00767
768,354,2.223,run_agents200_endpoints354_grid00768
769,352,5.903,run_agents200_endpoints352_grid00769
770,360,5.789,run_agents200_endpoints360_grid00770
771,360,2.942,run_agents200_endpoints360_grid00771
772,365,5.752,run_agents200_endpoints365_grid00772
773,351,5.719,run_agents200_endpoints351_grid00773
774,355,5.744,run_agents200_endpoints355_grid00774
775,353,5.803,run_agents200_endpoints353_grid00775
777,359,1.797,run_agents200_endpoints359_grid00777
778,367,5.545,run_agents200_endpoints367_grid00778
779,373,5.444,run_agents200_endpoints373_grid00779
780,367,4.772,run_agents200_endpoints367_grid00780
781,358,5.493,run_agents200_endpoints358_grid00781
782,361,1.697,run_agents200_endpoints361_grid00782
783,360,5.168,run_agents200_endpoints360_grid00783
784,365,5.841,run_agents200_endpoints365_grid00784
785,363,1.335,run_agents200_endpoints363_grid00785
786,350,5.857,run_agents200_endpoints350_grid00786
787,358,5.698,run_agents200_endpoints358_grid00787
788,354,3.223,run_agents200_endpoints354_grid00788
789,367,5.751,run_agents200_endpoints367_grid00789
790,353,5.805,run_agents200_endpoints353_grid00790
791,360,5.921,run_agents200_endpoints360_grid00791
792,363,5.512,run_agents200_endpoints363_grid00792
793,367,4.529,run_agents200_endpoints367_grid00793
794,354,5.173,run_agents200_endpoints354_grid00794
795,365,5.709,run_agents200_endpoints365_grid00795
796,343,0.393,run_agents200_endpoints343_grid00796
797,345,2.927,run_agents200_endpoints345_grid00797
798,360,5.851,run_agents200_endpoints360_grid00798
799,362,5.852,run_agents200_endpoints362_grid00799
800,366,6.086,run_agents200_endpoints366_grid00800
801,359,5.526,run_agents200_endpoints359_grid00801
802,365,5.839,run_agents200_endpoints365_grid00802
803,343,2.335,run_agents200_endpoints343_grid00803
804,355,2.398,run_agents200_endpoints355_grid00804
805,355,5.701,run_agents200_endpoints355_grid00805
806,360,5.386,run_agents200_endpoints360_grid00806
807,364,5.721,run_agents200_endpoints364_grid00807
808,357,5.951,run_agents200_endpoints357_grid00808
809,358,1.249,run_agents200_endpoints358_grid00809
810,355,5.711,run_agents200_endpoints355_grid00810
811,366,0.775,run_agents200_endpoints366_grid00811
812,360,5.627,run_agents200_endpoints360_grid00812
813,351,5.704,run_agents200_endpoints351_grid00813
814,353,5.356,run_agents200_endpoints353_grid00814
815,367,5.889,run_agents200_endpoints367_grid00815
816,361,5.906,run_agents200_endpoints361_grid00816
818,368,5.869,run_agents200_endpoints368_grid00818
819,363,5.968,run_agents200_endpoints363_grid00819
820,373,5.905,run_agents200_endpoints373_grid00820
821,337,5.705,run_agents200_endpoints337_grid00821
822,361,5.864,run_agents200_endpoints361_grid00822
823,370,5.349,run_agents200_endpoints370_grid00823
824,363,5.745,run_agents200_endpoints363_grid00824
825,363,1.797,run_agents200_endpoints363_grid00825
826,360,5.731,run_agents200_endpoints360_grid00826
827,354,5.935,run_agents200_endpoints354_grid00827
828,360,5.977,run_agents200_endpoints360_grid00828
829,360,5.897,run_agents200_endpoints360_grid00829
830,352,3.17,run_agents200_endpoints352_grid00830
831,360,5.662,run_agents200_endpoints360_grid00831
832,367,2.553,run_agents200_endpoints367_grid00832
833,363,5.436,run_agents200_endpoints363_grid00833
834,370,6.037,run_agents200_endpoints370_grid00834
835,354,5.232,run_agents200_endpoints354_grid00835
836,363,5.764,run_agents200_endpoints363_grid00836
837,370,5.172,run_agents200_endpoints370_grid00837
838,361,1.602,run_agents200_endpoints361_grid00838
839,354,5.73,run_agents200_endpoints354_grid00839
840,354,0.368,run_agents200_endpoints354_grid00840
841,369,5.892,run_agents200_endpoints369_grid00841
842,368,5.883,run_agents200_endpoints368_grid00842
843,360,1.291,run_agents200_endpoints360_grid00843
844,348,5.95,run_agents200_endpoints348_grid00844
845,362,1.779,run_agents200_endpoints362_grid00845
846,356,1.64,run_agents200_endpoints356_grid00846
847,359,6.017,run_agents200_endpoints359_grid00847
848,358,5.981,run_agents200_endpoints358_grid00848
849,355,1.64,run_agents200_endpoints355_grid00849
850,352,1.198,run_agents200_endpoints352_grid00850
851,356,5.835,run_agents200_endpoints356_grid00851
852,363,5.876,run_agents200_endpoints363_grid00852
853,347,5.774,run_agents200_endpoints347_grid00853
854,360,5.941,run_agents200_endpoints360_grid00854
855,368,5.663,run_agents200_endpoints368_grid00855
856,363,1.611,run_agents200_endpoints363_grid00856
857,357,0.925,run_agents200_endpoints357_grid00857
858,363,5.628,run_agents200_endpoints363_grid00858
859,365,5.942,run_agents200_endpoints365_grid00859
860,359,5.817,run_agents200_endpoints359_grid00860
861,364,5.773,run_agents200_endpoints364_grid00861
862,365,5.672,run_agents200_endpoints365_grid00862
863,368,2.359,run_agents200_endpoints368_grid00863
864,360,1.322,run_agents200_endpoints360_grid00864
865,362,5.874,run_agents200_endpoints362_grid00865
866,345,2.224,run_agents200_endpoints345_grid00866
867,359,5.578,run_agents200_endpoints359_grid00867
868,352,5.829,run_agents200_endpoints352_grid00868
869,381,6.051,run_agents200_endpoints381_grid00869
870,358,5.897,run_agents200_endpoints358_grid00870
871,367,5.811,run_agents200_endpoints367_grid00871
872,340,5.403,run_agents200_endpoints340_grid00872
873,363,5.849,run_agents200_endpoints363_grid00873
874,365,5.614,run_agents200_endpoints365_grid00874
875,356,0.257,run_agents200_endpoints356_grid00875
876,344,1.464,run_agents200_endpoints344_grid00876
877,358,5.662,run_agents200_endpoints358_grid00877
878,360,5.964,run_agents200_endpoints360_grid00878
879,359,1.356,run_agents200_endpoints359_grid00879
880,367,5.559,run_agents200_endpoints367_grid00880
881,364,5.706,run_agents200_endpoints364_grid00881
882,357,4.136,run_agents200_endpoints357_grid00882
883,369,4.236,run_agents200_endpoints369_grid00883
884,346,5.664,run_agents200_endpoints346_grid00884
885,364,1.003,run_agents200_endpoints364_grid00885
886,344,5.65,run_agents200_endpoints344_grid00886
887,365,5.462,run_agents200_endpoints365_grid00887
888,354,1.816,run_agents200_endpoints354_grid00888
889,369,5.85,run_agents200_endpoints369_grid00889
890,359,5.492,run_agents200_endpoints359_grid00890
892,354,5.888,run_agents200_endpoints354_grid00892
893,355,5.614,run_agents200_endpoints355_grid00893
894,359,5.739,run_agents200_endpoints359_grid00894
895,359,5.207,run_agents200_endpoints359_grid00895
896,365,5.838,run_agents200_endpoints365_grid00896
897,355,5.831,run_agents200_endpoints355_grid00897
898,355,5.288,run_agents200_endpoints355_grid00898
899,367,2.853,run_agents200_endpoints367_grid00899
900,358,5.231,run_agents200_endpoints358_grid00900
901,362,5.74,run_agents200_endpoints362_grid00901
902,356,2.208,run_agents200_endpoints356_grid00902
903,347,5.665,run_agents200_endpoints347_grid00903
904,351,5.604,run_agents200_endpoints351_grid00904
905,352,3.565,run_agents200_endpoints352_grid00905
907,365,6.026,run_agents200_endpoints365_grid00907
908,360,5.12,run_agents200_endpoints360_grid00908
909,347,0.732,run_agents200_endpoints347_grid00909
910,372,6.027,run_agents200_endpoints372_grid00910
911,357,4.276,run_agents200_endpoints357_grid00911
912,359,4.944,run_agents200_endpoints359_grid00912
913,362,0.994,run_agents200_endpoints362_grid00913
914,359,5.669,run_agents200_endpoints359_grid00914
915,363,5.279,run_agents200_endpoints363_grid00915
916,357,2.644,run_agents200_endpoints357_grid00916
917,364,1.062,run_agents200_endpoints364_grid00917
918,368,5.398,run_agents200_endpoints368_grid00918
919,372,5.84,run_agents200_endpoints372_grid00919
920,359,5.904,run_agents200_endpoints359_grid00920
921,356,5.906,run_agents200_endpoints356_grid00921
922,346,1.736,run_agents200_endpoints346_grid00922
923,359,3.471,run_agents200_endpoints359_grid00923
924,365,5.576,run_agents200_endpoints365_grid00924
925,358,5.737,run_agents200_endpoints358_grid00925
927,353,5.549,run_agents200_endpoints353_grid00927
928,366,5.841,run_agents200_endpoints366_grid00928
929,362,0.828,run_agents200_endpoints362_grid00929
930,343,5.468,run_agents200_endpoints343_grid00930
931,363,0.945,run_agents200_endpoints363_grid00931
932,347,2.429,run_agents200_endpoints347_grid00932
933,353,5.584,run_agents200_endpoints353_grid00933
934,350,0.661,run_agents200_endpoints350_grid00934
935,352,1.684,run_agents200_endpoints352_grid00935
936,353,5.907,run_agents200_endpoints353_grid00936
937,358,5.789,run_agents200_endpoints358_grid00937
938,364,5.78,run_agents200_endpoints364_grid00938
939,361,5.751,run_agents200_endpoints361_grid00939
941,361,5.668,run_agents200_endpoints361_grid00941
942,361,5.883,run_agents200_endpoints361_grid00942
943,365,2.034,run_agents200_endpoints365_grid00943
944,359,1.844,run_agents200_endpoints359_grid00944
945,351,5.79,run_agents200_endpoints351_grid00945
946,362,0.59,run_agents200_endpoints362_grid00946
947,369,5.399,run_agents200_endpoints369_grid00947
948,359,5.869,run_agents200_endpoints359_grid00948
949,350,0.878,run_agents200_endpoints350_grid00949
950,353,5.762,run_agents200_endpoints353_grid00950
951,347,1.837,run_agents200_endpoints347_grid00951
952,355,5.837,run_agents200_endpoints355_grid00952
953,348,2.869,run_agents200_endpoints348_grid00953
954,350,5.363,run_agents200_endpoints350_grid00954
955,364,5.705,run_agents200_endpoints364_grid00955
956,356,5.838,run_agents200_endpoints356_grid00956
957,356,5.553,run_agents200_endpoints356_grid00957
959,361,5.829,run_agents200_endpoints361_grid00959
960,360,5.878,run_agents200_endpoints360_grid00960
961,348,1.221,run_agents200_endpoints348_grid00961
962,351,5.535,run_agents200_endpoints351_grid00962
963,354,0.93,run_agents200_endpoints354_grid00963
965,352,5.88,run_agents200_endpoints352_grid00965
966,363,1.833,run_agents200_endpoints363_grid00966
967,371,5.497,run_agents200_endpoints371_grid00967
968,350,5.531,run_agents200_endpoints350_grid00968
969,351,5.526,run_agents200_endpoints351_grid00969
970,367,6.057,run_agents200_endpoints367_grid00970
971,353,5.723,run_agents200_endpoints353_grid00971
972,358,5.541,run_agents200_endpoints358_grid00972
973,367,5.792,run_agents200_endpoints367_grid00973
974,360,5.489,run_agents200_endpoints360_grid00974
975,362,0.576,run_agents200_endpoints362_grid00975
976,365,5.497,run_agents200_endpoints365_grid00976
977,365,5.568,run_agents200_endpoints365_grid00977
978,349,3.137,run_agents200_endpoints349_grid00978
979,347,5.989,run_agents200_endpoints347_grid00979
980,356,5.808,run_agents200_endpoints356_grid00980
981,368,5.76,run_agents200_endpoints368_grid00981
982,363,5.6,run_agents200_endpoints363_grid00982
983,362,5.832,run_agents200_endpoints362_grid00983
984,359,2.45,run_agents200_endpoints359_grid00984
985,351,5.871,run_agents200_endpoints351_grid00985
987,364,6.019,run_agents200_endpoints364_grid00987
988,360,5.225,run_agents200_endpoints360_grid00988
989,351,0.694,run_agents200_endpoints351_grid00989
990,369,5.964,run_agents200_endpoints369_grid00990
992,368,1.894,run_agents200_endpoints368_grid00992
993,354,5.556,run_agents200_endpoints354_grid00993
994,364,5.872,run_agents200_endpoints364_grid00994
995,349,5.357,run_agents200_endpoints349_grid00995
996,363,5.713,run_agents200_endpoints363_grid00996
997,361,5.88,run_agents200_endpoints361_grid00997
998,367,0.879,run_agents200_endpoints367_grid00998
999,350,5.892,run_agents200_endpoints350_grid00999
1000,353,5.879,run_agents200_endpoints353_grid01000
