grid_number,endpoints,throughput,folder
133,380,1.883,run_agents200_endpoints380_grid00133
134,365,5.837,run_agents200_endpoints365_grid00134
135,349,4.957,run_agents200_endpoints349_grid00135
136,360,5.587,run_agents200_endpoints360_grid00136
137,359,0.929,run_agents200_endpoints359_grid00137
138,360,4.163,run_agents200_endpoints360_grid00138
139,340,0.919,run_agents200_endpoints340_grid00139
140,361,5.941,run_agents200_endpoints361_grid00140
141,361,5.345,run_agents200_endpoints361_grid00141
142,353,5.817,run_agents200_endpoints353_grid00142
143,355,5.803,run_agents200_endpoints355_grid00143
144,346,0.728,run_agents200_endpoints346_grid00144
145,367,5.592,run_agents200_endpoints367_grid00145
146,359,5.702,run_agents200_endpoints359_grid00146
147,363,5.859,run_agents200_endpoints363_grid00147
148,354,5.868,run_agents200_endpoints354_grid00148
149,364,1.78,run_agents200_endpoints364_grid00149
150,368,5.517,run_agents200_endpoints368_grid00150
151,365,3.519,run_agents200_endpoints365_grid00151
152,355,5.838,run_agents200_endpoints355_grid00152
153,352,1.309,run_agents200_endpoints352_grid00153
154,355,5.883,run_agents200_endpoints355_grid00154
155,358,5.401,run_agents200_endpoints358_grid00155
156,363,6.087,run_agents200_endpoints363_grid00156
157,354,5.766,run_agents200_endpoints354_grid00157
158,365,5.884,run_agents200_endpoints365_grid00158
159,358,5.897,run_agents200_endpoints358_grid00159
160,361,0.35,run_agents200_endpoints361_grid00160
161,354,5.728,run_agents200_endpoints354_grid00161
162,359,5.721,run_agents200_endpoints359_grid00162
163,361,0.944,run_agents200_endpoints361_grid00163
164,364,5.693,run_agents200_endpoints364_grid00164
165,347,5.48,run_agents200_endpoints347_grid00165
166,352,5.47,run_agents200_endpoints352_grid00166
167,348,6.038,run_agents200_endpoints348_grid00167
168,353,5.557,run_agents200_endpoints353_grid00168
169,362,5.785,run_agents200_endpoints362_grid00169
170,366,5.574,run_agents200_endpoints366_grid00170
171,360,1.653,run_agents200_endpoints360_grid00171
172,364,5.395,run_agents200_endpoints364_grid00172
173,360,5.725,run_agents200_endpoints360_grid00173
174,352,5.589,run_agents200_endpoints352_grid00174
175,353,5.686,run_agents200_endpoints353_grid00175
176,363,5.672,run_agents200_endpoints363_grid00176
177,371,5.636,run_agents200_endpoints371_grid00177
